chill,guaiac positive,monoclonal,ecchymosis,tumor cell invasion,haemorrhage,pallor,asthenia,fatigue,heme positive,pain back,orthostasis,hyponatremia,dizziness,shortness of breath,pain,rhonchus,arthralgia,swelling,transaminitis,,,,,,,,
shortness of breath,wheezing,cough,dyspnea,distress respiratory,sputum purulent,hypoxemia,hypercapnia,patient non compliance,chest tightness,,,,,,,,,,,,,,,,,,
breakthrough pain,pain back,pain,shortness of breath,snuffle,pain chest,pain abdominal,hepatosplenomegaly,green sputum,apyrexial,headache,,,,,,,,,,,,,,,,,
pain chest,angina pectoris,shortness of breath,hypokinesia,sweat,sweating increased,pressure chest,dyspnea on exertion,orthopnea,chest tightness,,,,,,,,,,,,,,,,,,
moan,nausea,pain abdominal,Murphy's sign,flatulence,colic abdominal,pain,ascites,diarrhea,qt interval prolonged,cardiovascular finding,cardiovascular event,groggy,sinus rhythm,gasping for breath,constipation,feces in rectum,abnormally hard consistency,,,,,,,,,,
suicidal,hallucinations auditory,feeling suicidal,hallucinations visual,motor retardation,blackout,verbal auditory hallucinations,feeling hopeless,irritable mood,agitation,tremor,catatonia,weepiness,homelessness,sleeplessness,withdraw,energy increased,intoxication,worry,behavior hyperactive,patient non compliance,mood depressed,terrify,nightmare,consciousness clear,,,
hypokinesia,anorexia,hypertonicity,shortness of breath,hypoalbuminemia,pruritus,sore to touch,hemodynamically stable,facial paresis,vomiting,stool color yellow,,,,,,,,,,,,,,,,,
vomiting,orthopnea,hyperkalemia,oliguria,jugular venous distention,nausea,shortness of breath,mental status changes,diarrhea,asthenia,chest tightness,malaise,chill,rale,fever,pleuritic pain,apyrexial,guaiac positive,swelling,catatonia,unresponsiveness,yellow sputum,,,,,,
feeling suicidal,suicidal,hallucinations auditory,feeling hopeless,weepiness,sleeplessness,motor retardation,irritable mood,blackout,mood depressed,hallucinations visual,worry,agitation,tremor,intoxication,verbal auditory hallucinations,energy increased,difficulty,nightmare,unable to concentrate,homelessness,,,,,,,
pain chest,st segment elevation,sweat,sweating increased,shortness of breath,st segment depression,hypokinesia,angina pectoris,pressure chest,t wave inverted,orthopnea,rale,chest tightness,presence of q wave,palpitation,dyspnea,chest discomfort,bradycardia,syncope,,,,,,,,,
pain,catatonia,snore,pain chest,r wave feature,has religious belief,shortness of breath,fatigue,tired,overweight,systolic murmur,mood depressed,ecchymosis,,,,,,,,,,,,,,,
fever,dysuria,hematuria,renal angle tenderness,lethargy,asthenia,hyponatremia,hemodynamically stable,distress respiratory,difficulty passing urine,mental status changes,consciousness clear,,,,,,,,,,,,,,,,
left atrial hypertrophy,sweat,sweating increased,alcohol binge episode,pressure chest,scar tissue,cardiovascular finding,cardiovascular event,orthostasis,shortness of breath,t wave inverted,vomiting,pain abdominal,,,,,,,,,,,,,,,
hot flush,pain,redness,swelling,erythema,emphysematous change,sore to touch,hypokinesia,ascites,patient non compliance,,,,,,,,,,,,,,,,,,
sore to touch,pruritus,feeling strange,pustule,cushingoid facies,cushingoid habitus,decreased body weight,mood depressed,estrogen use,wheezing,ascites,seizure,,,,,,,,,,,,,,,,
fecaluria,constipation,abscess bacterial,heme positive,lightheadedness,diarrhea,haemorrhage,pain,projectile vomiting,pneumatouria,cystic lesion,anorexia,nausea,feeling suicidal,feeling hopeless,,,,,,,,,,,,,
orthopnea,oliguria,slowing of urinary stream,extreme exhaustion,unresponsiveness,hypotension,enuresis,shortness of breath,haemorrhage,prostatism,no status change,bedridden,bedridden,fatigue,,,,,,,,,,,,,,
hallucinations auditory,hypersomnolence,irritable mood,verbal auditory hallucinations,patient non compliance,agitation,suicidal,worry,hallucinations visual,underweight,underweight,homelessness,,,,,,,,,,,,,,,,
systolic murmur,frail,fever,,,,,,,,,,,,,,,,,,,,,,,,,
uncoordination,asterixis,haemorrhage,drowsiness,sleepy,absences finding,posturing,aura,tonic seizures,debilitation,consciousness clear,unresponsiveness,thicken,hypokinesia,,,,,,,,,,,,,,
extreme exhaustion,sleeplessness,enuresis,patient non compliance,feeling hopeless,hallucinations visual,bedridden,bedridden,prostatism,,,,,,,,,,,,,,,,,,,
hematuria,dysesthesia,asthenia,polymyalgia,passed stones,pleuritic pain,guaiac positive,rale,breath sounds decreased,urge incontinence,dysuria,diarrhea,vertigo,qt interval prolonged,ataxia,paresis,hemianopsia homonymous,tumor cell invasion,hemodynamically stable,mass of body structure,rhonchus,orthostasis,decreased body weight,,,,,
drool,agitation,nightmare,rhonchus,consciousness clear,pin-point pupils,bedridden,bedridden,frail,tremor resting,hyperkalemia,facial paresis,groggy,muscle twitch,wheelchair bound,tremor,cough,fever,,,,,,,,,,
paraparesis,seizure,asthenia,urge incontinence,unconscious state,aura,moody,fear of falling,tremor,spasm,unhappy,syncope,fall,stiffness,unresponsiveness,,,,,,,,,,,,,
cyanosis,tachypnea,para 1,bradycardia,breech presentation,cushingoid facies,cushingoid habitus,cough,myalgia,,,,,,,,,,,,,,,,,,,
orthopnea,shortness of breath,dyspnea on exertion,jugular venous distention,rale,pain chest,palpitation,sweat,sweating increased,weight gain,cough,dyspnea,,,,,,,,,,,,,,,,
feeling suicidal,energy increased,suicidal,irritable mood,agitation,has religious belief,disturbed family,hallucinations auditory,verbal auditory hallucinations,weepiness,behavior hyperactive,catatonia,feeling hopeless,worry,sleeplessness,hypersomnia,difficulty,hallucinations visual,hyperhidrosis disorder,mydriasis,extrapyramidal sign,loose associations,intoxication,motor retardation,homelessness,blackout,tremor,exhaustion
ascites,spontaneous rupture of membranes,tachypnea,pain abdominal,pruritus,anorexia,transaminitis,projectile vomiting,chill,distress respiratory,fever,vomiting,,,,,,,,,,,,,,,,
pericardial friction rub,dyspnea,shortness of breath,hemodynamically stable,cardiomegaly,hypotension,sputum purulent,facial paresis,pain,oliguria,blackout,intoxication,,,,,,,,,,,,,,,,
flatulence,pain,large-for-dates fetus,para 1,vomiting,lung nodule,breech presentation,shortness of breath,decreased body weight,immobile,unsteady gait,hallucinations visual,feeling suicidal,,,,,,,,,,,,,,,
vomiting,nausea,pain abdominal,pain,cushingoid facies,cushingoid habitus,ascites,thicken,sore to touch,diarrhea,apyrexial,palpitation,,,,,,,,,,,,,,,,
pleuritic pain,thicken,myalgia,apyrexial,night sweat,flare,shortness of breath,orthopnea,abscess bacterial,hypotension,cough,metastatic lesion,breath sounds decreased,decreased body weight,pulsus paradoxus,hypokinesia,,,,,,,,,,,,
fever,night sweat,spontaneous rupture of membranes,cough,,decreased body weight,chill,diarrhea,pleuritic pain,patient non compliance,tachypnea,productive cough,muscle hypotonia,hypotonic,feeling suicidal,,,,,,,,,,,,,
dyspnea,cardiovascular finding,cardiovascular event,haemoptysis,cough,hypercapnia,soft tissue swelling,prostatism,agitation,,,,,,,,,,,,,,,,,,,
dysarthria,asthenia,speech slurred,facial paresis,hemiplegia,unresponsiveness,seizure,numbness,,,,,,,,,,,,,,,,,,,,
seizure,enuresis,lethargy,speech slurred,fall,consciousness clear,mental status changes,asterixis,unconscious state,agitation,muscle twitch,asthenia,sleepy,dizziness,headache,dysarthria,lightheadedness,tremor,hyponatremia,unresponsiveness,,,,,,,,
diarrhea,throat sore,decreased body weight,chill,headache,abdominal tenderness,patient non compliance,photophobia,night sweat,painful swallowing,poor dentition,transaminitis,non-productive cough,adverse reaction,adverse effect,abdominal bloating,,,,,,,,,,,,
worry,feeling suicidal,suicidal,sleeplessness,feeling hopeless,irritable mood,tremor,blackout,weepiness,has religious belief,nervousness,hallucinations visual,formication,difficulty,pain chest,patient non compliance,agitation,palpitation,hallucinations auditory,mood depressed,hot flush,pain,consciousness clear,nightmare,,,,
ascites,fall,splenomegaly,pruritus,pain abdominal,tumor cell invasion,distended abdomen,lesion,hemodynamically stable,guaiac positive,sore to touch,bleeding of vagina,,,,,,,,,,,,,,,,
hypoproteinemia,fatigue,haemorrhage,fatigability,cushingoid facies,cushingoid habitus,stool color yellow,colic abdominal,,,,,,,,,,,,,,,,,,,,
diarrhea,throat sore,decreased body weight,chill,headache,abdominal tenderness,patient non compliance,photophobia,night sweat,painful swallowing,poor dentition,transaminitis,non-productive cough,adverse reaction,adverse effect,abdominal bloating,,,,,,,,,,,,
pain abdominal,abscess bacterial,dullness,red blotches,diarrhea,sore to touch,dysuria,pain,vomiting,sinus rhythm,colic abdominal,apyrexial,abdominal tenderness,fever,unsteady gait,thicken,urgency of micturition,anorexia,monoclonal,constipation,,,,,,,,
shortness of breath,scar tissue,apyrexial,no known drug allergies,pain,productive cough,throat sore,dyspnea,chest tightness,hypoxemia,tachypnea,sensory discomfort,fever,vomiting,rhonchus,hemiplegia,fremitus,,,,,,,,,,,
pain abdominal,paraparesis,nausea,vomiting,polymyalgia,out of breath,pain chest,hemiplegia,gurgle,hunger,apyrexial,nervousness,,,,,,,,,,,,,,,,
feeling suicidal,suicidal,hallucinations auditory,feeling hopeless,weepiness,sleeplessness,motor retardation,irritable mood,blackout,mood depressed,hallucinations visual,worry,agitation,tremor,intoxication,verbal auditory hallucinations,energy increased,difficulty,nightmare,unable to concentrate,homelessness,,,,,,,
behavior showing increased motor activity,scar tissue,dyspnea on exertion,coordination abnormal,myalgia,hypercapnia,clammy skin,has religious belief,room spinning,moan,night sweat,cachexia,symptom aggravating factors,dyspnea,rale,flushing,painful swallowing,arthralgia,choke,tenesmus,constipation,,,,,,,
unresponsiveness,"hypothermia, natural",incoherent,qt interval prolonged,lameness,claudication,unconscious state,clammy skin,polyuria,distress respiratory,hypotension,,,,,,,,,,,,,,,,,
intoxication,tremor,agitation,suicidal,homelessness,prostatism,lethargy,seizure,muscle twitch,stuffy nose,feeling hopeless,heavy legs,rale,,,,,,,,,,,,,,,
pain,redness,prostate tender,fever,difficulty passing urine,sore to touch,swelling,apyrexial,erythema,abscess bacterial,pain foot,urinary hesitation,,,,,,,,,,,,,,,,
haemorrhage,bowel sounds decreased,decreased stool caliber,nausea and vomiting,hunger,diarrhea,dizziness,hyponatremia,clonus,pain,achalasia,burning sensation,guaiac positive,numbness of hand,wheezing,cough,,,,,,,,,,,,
mass of body structure,splenomegaly,lesion,paresis,tumor cell invasion,room spinning,haemorrhage,thicken,indifferent mood,cachexia,"hypothermia, natural",pain abdominal,hepatomegaly,hematocrit decreased,stupor,decreased body weight,shortness of breath,cough,,,,,,,,,,
fever,pain,urgency of micturition,hematuria,vomiting,chill,diarrhea,nausea,pain abdominal,myalgia,fever,chill,,,,,,,,,,,,,,,,
vomiting,pain abdominal,nausea,pain,diarrhea,stool color yellow,rigor - temperature-associated observation,apyrexial,sore to touch,,,,,,,,,,,,,,,,,,,
vomiting,nausea,pain abdominal,pain,cushingoid facies,cushingoid habitus,ascites,thicken,sore to touch,diarrhea,apyrexial,palpitation,,,,,,,,,,,,,,,,
shortness of breath,orthopnea,hypokinesia,jugular venous distention,palpitation,pain chest,syncope,yellow sputum,rale,dyspnea,dyspnea on exertion,left atrial hypertrophy,fatigue,weight gain,patient non compliance,,,,,,,,,,,,,
yellow sputum,cachexia,chill,decreased body weight,productive cough,myalgia,diarrhea,neck stiffness,hacking cough,dyspareunia,hypokalemia,dyspnea on exertion,poor dentition,transaminitis,non-productive cough,headache,floppy,spontaneous rupture of membranes,,,,,,,,,,
lesion,prostatism,constipation,general discomfort,diarrhea,pain abdominal,urinary hesitation,dizzy spells,shooting pain,bradycardia,vomiting,systolic ejection murmur,nausea,hyperemesis,polydypsia,,,,,,,,,,,,,
urgency of micturition,shortness of breath,rale,tachypnea,orthopnea,Heberden's node,jugular venous distention,dyspnea,sweat,sweating increased,patient non compliance,chest discomfort,hyperkalemia,sinus rhythm,pain chest,hypotension,wheezing,,,,,,,,,,,
mass in breast,mass of body structure,paresthesia,retropulsion,erythema,difficulty,lesion,estrogen use,burning sensation,dyspnea,swelling,formication,,,,,,,,,,,,,,,,
dysarthria,paresis,asthenia,aphagia,seizure,speech slurred,focal seizures,hemiplegia,abnormal sensation,unresponsiveness,stupor,drowsiness,sleepy,fremitus,Stahli's line,stinging sensation,paralyse,clonus,facial paresis,,,,,,,,,
shortness of breath,dyspnea on exertion,asymptomatic,hypokinesia,dyspnea,syncope,thicken,left atrial hypertrophy,palpitation,fatigue,vomiting,pain,cardiomegaly,chest discomfort,,,,,,,,,,,,,,
shortness of breath,rest pain,angina pectoris,unresponsiveness,hyperkalemia,sinus rhythm,labored breathing,dyspnea,sore to touch,anorexia,sleepy,,,,,,,,,,,,,,,,,
drowsiness,lip smacking,myoclonus,tremor,phonophobia,rolling of eyes,sleepy,hirsutism,moody,muscle twitch,unresponsiveness,headache,ambidexterity,absences finding,spasm,decreased body weight,tumor cell invasion,,,,,,,,,,,
pericardial friction rub,dyspnea,shortness of breath,hemodynamically stable,cardiomegaly,hypotension,sputum purulent,facial paresis,pain,oliguria,blackout,intoxication,,,,,,,,,,,,,,,,
ecchymosis,monocytosis,posterior rhinorrhea,haemorrhage,tachypnea,fever,pruritus,hypotension,fatigue,,,,,,,,,,,,,,,,,,,
mass of body structure,lesion,decreased body weight,constipation,fremitus,decreased stool caliber,satiety early,hematochezia,egophony,pain,cicatrisation,scar tissue,pain abdominal,,,,,,,,,,,,,,,
shortness of breath,orthopnea,jugular venous distention,rale,dyspnea,cough,wheezing,,,,,,,,,,,,,,,,,,,,,
fever,pruritus,macule,lesion,redness,headache,apyrexial,arthralgia,swelling,erythema,photophobia,chill,scratch marks,pain,painful swallowing,,,,,,,,,,,,,
drowsiness,sleepy,pain chest,angina pectoris,pressure chest,chest discomfort,shortness of breath,dyspnea,sinus rhythm,bradycardia,sweat,sweating increased,rale,asymptomatic,anorexia,,,,,,,,,,,,,
shortness of breath,Stahli's line,heavy legs,breath sounds decreased,neck stiffness,dyspnea on exertion,cyanosis,hypotension,left atrial hypertrophy,,,,,,,,,,,,,,,,,,,
fever,erythema,decreased translucency,hepatosplenomegaly,chill,pruritus,diarrhea,abscess bacterial,swelling,pain,apyrexial,cough,,,,,,,,,,,,,,,,
erythema,pain,swelling,redness,fever,abscess bacterial,patient non compliance,hypesthesia,hyperacusis,pruritus,pain chest,scratch marks,chill,sore to touch,,,,,,,,,,,,,,
pain,mass of body structure,night sweat,splenomegaly,lesion,chill,decreased body weight,swelling,fever,hyperacusis,fremitus,non-productive cough,egophony,redness,hepatomegaly,fatigue,,,,,,,,,,,,
pain abdominal,breath-holding spell,nausea,decreased body weight,sore to touch,scleral icterus,fever,myalgia,hyponatremia,retch,mass of body structure,decreased body weight,,,,,,,,,,,,,,,,
achalasia,fall,stiffness,withdraw,agitation,hemiplegia,difficulty,unresponsiveness,syncope,facial paresis,orthostasis,worry,drowsiness,sleepy,hematuria,tremor,night sweat,mass of body structure,,,,,,,,,,
pain abdominal,pain,hyperventilation,excruciating pain,gag,nausea,posturing,hemiplegia,sore to touch,haemorrhage,apyrexial,food intolerance,pulse absent,asthenia,mass of body structure,thicken,,,,,,,,,,,,
shortness of breath,hyperkalemia,pain chest,fever,gravida 0,bleeding of vagina,,,,,,,,,,,,,,,,,,,,,,
fever,thicken,green sputum,vomiting,nausea and vomiting,awakening early,pain,nausea,chill,tenesmus,urge incontinence,pain abdominal,hemodynamically stable,,,,,,,,,,,,,,,
swelling,pain,ecchymosis,shortness of breath,pain in lower limb,cardiomegaly,rale,erythema,hypotension,clonus,non-productive cough,redness,,,,,,,,,,,,,,,,
nightmare,feeling hopeless,transsexual,hallucinations auditory,irritable mood,sleeplessness,agitation,weepiness,mood depressed,scratch marks,nausea and vomiting,extreme exhaustion,side pain,worry,enuresis,homelessness,nervousness,ascites,pruritus,,,,,,,,,
pain chest,angina pectoris,palpitation,presence of q wave,photopsia,sweat,sweating increased,chest discomfort,shortness of breath,giddy mood,hypokinesia,hemiplegia,dizziness,,,,,,,,,,,,,,,
cough,fever,decreased translucency,shortness of breath,rale,productive cough,pleuritic pain,yellow sputum,breath sounds decreased,chill,rhonchus,green sputum,non-productive cough,wheezing,haemoptysis,distress respiratory,tachypnea,malaise,night sweat,,,,,,,,,
pain,pain chest,burning sensation,hyponatremia,satiety early,throbbing sensation quality,chest tightness,sensory discomfort,presence of q wave,nausea,general discomfort,constipation,palpitation,pain abdominal,heartburn,sweat,sweating increased,asthenia,,,,,,,,,,
mediastinal shift,fever,clonus,mental status changes,decreased translucency,unresponsiveness,extreme exhaustion,stupor,seizure,transaminitis,hemiplegia,cough,gurgle,pain,diarrhea,pain abdominal,,,,,,,,,,,,
dyspnea on exertion,syncope,chest discomfort,systolic murmur,sciatica,angina pectoris,pain chest,frothy sputum,bradycardia,shortness of breath,pain,,,,,,,,,,,,,,,,,
pain chest,shortness of breath,dizziness,asthenia,fall,syncope,vertigo,sweat,sweating increased,palpitation,nausea,angina pectoris,pressure chest,,,,,,,,,,,,,,,
fall,distended abdomen,unsteady gait,paresthesia,hyponatremia,agitation,unconscious state,burning sensation,lesion,mass of body structure,,,,,,,,,,,,,,,,,,
fever,distress respiratory,hypotension,tachypnea,chill,lethargy,bradycardia,breech presentation,cyanosis,spontaneous rupture of membranes,haemorrhage,unresponsiveness,rale,apyrexial,,,,,,,,,,,,,,
cough,wheezing,shortness of breath,chest tightness,fever,throat sore,productive cough,hepatosplenomegaly,night sweat,haemoptysis,labored breathing,snuffle,hacking cough,dyspnea,chill,stridor,decreased body weight,,,,,,,,,,,
loose associations,giddy mood,feeling hopeless,agitation,hallucinations auditory,irritable mood,sleeplessness,neologism,homicidal thoughts,disturbed family,worry,decompensation,verbally abusive behavior,catatonia,suicidal,terrify,blackout,weepiness,impaired cognition,irritable mood,agitation,,,,,,,
cough,throat sore,wheezing,shortness of breath,labored breathing,fever,stuffy nose,non-productive cough,snuffle,indifferent mood,egophony,barking cough,polymyalgia,pleuritic pain,night sweat,dyspnea,productive cough,decreased translucency,rhonchus,rapid shallow breathing,apyrexial,noisy respiration,nasal discharge present,emphysematous change,frail,cystic lesion,symptom aggravating factors,hemodynamically stable
fever,fall,unresponsiveness,lethargy,agitation,ecchymosis,syncope,rale,unconscious state,cough,bedridden,bedridden,pain,facial paresis,abdominal tenderness,rhonchus,unsteady gait,hallucinations auditory,,,,,,,,,,
polyuria,vomiting,nausea,pain abdominal,milky,feeling strange,gurgle,nervousness,abdominal tenderness,regurgitates after swallowing,vision blurred,urinary hesitation,diarrhea,seizure,aura,,,,,,,,,,,,,
energy increased,suicidal,hypersomnia,feeling suicidal,blanch,hallucinations auditory,hallucinations visual,elation,verbal auditory hallucinations,feeling hopeless,difficulty,decompensation,verbally abusive behavior,suicidal,feeling suicidal,,,,,,,,,,,,,
hallucinations auditory,sleeplessness,suicidal,motor retardation,weepiness,unable to concentrate,todd paralysis,worry,fatigue,tremor,alcoholic withdrawal symptoms,agitation,unresponsiveness,blackout,withdraw,difficulty,irritable mood,sensory discomfort,drowsiness,formication,unconscious state,fever,cough,,,,,
fever,night sweat,spontaneous rupture of membranes,cough,,decreased body weight,chill,diarrhea,pleuritic pain,patient non compliance,tachypnea,productive cough,muscle hypotonia,hypotonic,feeling suicidal,,,,,,,,,,,,,
mental status changes,cachexia,blackout,orthostasis,orthopnea,night sweat,distress respiratory,anorexia,dysarthria,,,,,,,,,,,,,,,,,,,
fever,night sweat,spontaneous rupture of membranes,cough,,decreased body weight,chill,diarrhea,pleuritic pain,patient non compliance,tachypnea,productive cough,muscle hypotonia,hypotonic,feeling suicidal,,,,,,,,,,,,,
fever,chill,flushing,unresponsiveness,indifferent mood,urinoma,vomiting,distended abdomen,hypoalbuminemia,pustule,prostatism,diarrhea,abdominal tenderness,pleuritic pain,decreased translucency,pallor,,,,,,,,,,,,
transaminitis,splenomegaly,night sweat,apyrexial,lesion,snuffle,chill,cough,monoclonal,hypocalcemia result,oliguria,rhd positive,distress respiratory,,,,,,,,,,,,,,,
inappropriate affect,tachypnea,yellow sputum,projectile vomiting,poor feeding,pain abdominal,abdominal tenderness,wheelchair bound,moan,,,,,,,,,,,,,,,,,,,
ascites,distended abdomen,feeling suicidal,cough,ache,macerated skin,heavy feeling,hallucinations auditory,chill,asterixis,patient non compliance,,,,,,,,,,,,,,,,,
pain chest,angina pectoris,shortness of breath,hypokinesia,sweat,sweating increased,pressure chest,dyspnea on exertion,orthopnea,chest tightness,,,,,,,,,,,,,,,,,,
lesion,cough,lung nodule,shortness of breath,haemoptysis,debilitation,gurgle,ache,rale,night sweat,decreased translucency,asthenia,metastatic lesion,agitation,irritable mood,,,,,,,,,,,,,
pain,hemodynamically stable,sleeplessness,asthenia,syncope,swelling,atypia,general unsteadiness,shortness of breath,distended abdomen,,,,,,,,,,,,,,,,,,
lesion,cough,lung nodule,shortness of breath,haemoptysis,debilitation,gurgle,ache,rale,night sweat,decreased translucency,asthenia,metastatic lesion,agitation,irritable mood,,,,,,,,,,,,,
mass of body structure,pain,lesion,tumor cell invasion,thicken,decreased body weight,hoarseness,general discomfort,metastatic lesion,non-productive cough,constipation,unhappy,paresthesia,gravida 0,diarrhea,sore to touch,heartburn,nausea,lung nodule,,,,,,,,,
unsteady gait,withdraw,hyponatremia,verbally abusive behavior,feeling suicidal,unresponsiveness,worry,drowsiness,sleepy,hallucinations auditory,suicidal,fever,diarrhea,,,,,,,,,,,,,,,
mass of body structure,paraparesis,fever,gravida 0,pain,pruritus,mass in breast,vomiting,diarrhea,,,,,,,,,,,,,,,,,,,
hyperkalemia,hypotension,hypocalcemia result,oliguria,hemodynamically stable,asthenia,"hypothermia, natural",diarrhea,haemorrhage,unresponsiveness,,,,,,,,,,,,,,,,,,
